hour,coffee_carafe,coffee_amount
8,x,0.8161635636
9,x,0.4510180438
10,x,0.843278542
11,x,0.3355330259
12,x,0.8982913933
13,x,0.3107110962
14,x,0.5072882334
15,x,0.2150426112
16,x,0.1838911842
17,x,0.3915603926
8,y,0.189297102
9,y,0.5215018026
10,y,0.02316284346
11,y,0.2355288383
12,y,0.01700918131
13,y,0.997464463
14,y,0.05836091031
15,y,0.1446435616
16,y,0.5446760372
17,y,0.5941256108
8,z,0.9992641745
9,z,0.9159895743
10,z,0.1449283603
11,z,0.3114953365
12,z,0.7719472623
13,z,0.398520163
14,z,0.8644641097
15,z,0.4363644226
16,z,0.2806208902
17,z,0.4366772043
